,class,complain
947,Minor,The defendant responded to an advertisement posted by an undercover federal agent advertising commercial sex acts with a sixteenyearold victim The defendant was arrested after arriving at the sting operation 
1259,Adult,If you are the application owner check the logs for more information
857,Minor,The defendant ran a prostitution business and acted as a pimp for several victims He would frequently utilize violence to ensure the victims would not try to leave the business The defendant also worked with several other pimps in different states to coordinate jobs The ages of about two dozen victims ranged from 13 to 18 and they would be frequently traded between the pimps forming a prostitution network built on a loose affiliation between nineteen traffickers
198,Notrelated,The culture is toxic You will find yourself asked to do more than youre able to do with no reward and constant threats and consequences Management believes that the best leaders are aggressive towards their employees so dont be surprised when leaders belittle degrade and demoralize you  thats how they think it should be Theres no HR to rely on so youll find yourself alone and without any help Every department suffers everyone is miserable
873,Minor,An underaged female was prostituted through internet ads  Adult female defendant 1 was named by the victim as her pimp was redacted because she was also being pimped by codefendants the Cottingham brothers 
393,Labor,Manager of Frosty Treats in Kansas City Missouri promised Russian students the opportunity to earn salaries between 10000 and 15000 for the summer in the United States Once in the United States however the students were forced to work 13 hours a day seven days a week for less than minimum wage Defendants restricted the students access to telephone and mail communication and confiscated their passports On September 10 2007 David Carslake pled guilty to obstruction of mail Frosty Treats entered a separate settlement agreement agreeing to pay more than 47555 in restitution to the six students and to stop recruiting foreign students at all of its US locations for the next two years 
1316,Adult,The defendant met the two victims and began to take sexually explicit photographs of the two victims which were then used as advertisements online at websites such as Backpage usasexguide Preferred411 and Datecheck The defendant would frequently beat the victims to ensure they did not leave 
309,Labor,But this wasnt true The clients arrived and the boss told me I had to be kind to them Later they told me my clothes werent good enough for this job and they forced me to put on provocative clothes and then forced me to dance naked I had to let them touch me At first I told my mum that I was going to school because they let me go home in the evening But then one day everything changed they told me I couldnt leave
250,Notrelated,The favoritism in this place is choking and totally defeating Glad to be gone because I found a better job directly across the street at a much higher rate of pay
331,Labor,Defendants recruited homeless AfricanAmerican men for their orangepicking operation Once employed the workers were involuntarily held through the use of beatings threats and the use of a company store debt run up by shortterm loans for rent food cigarettes and cocaine
578,Minor,The defendant forced a minor to engage in commercial sex trafficking 
16,Notrelated,the management is honest Salary is on time Team building events at the company For extra working hours additional payment is offered 
1059,Minor,The defendant met the victim while living in the same residential hotel The defendant then began to provide the victim who was ten years old crack cocaine The defendant would frequently prostitute herself while in the presence of the victim while also telling the victim to undress herself and allow the johns to stimulate her Upon the victim turning twelve the defendant began to prostitute the victim During one of the forced encounters the john took several sexually explicit photographs of the victim and defendant and posted them online which led to the defendants arrest after the photographs had been widely circulated over the Internet
1327,Adult,The defendant forced five victims to engage in commercial sex trafficking after posting advertisements online The defendant frequently used physical abuse to ensure the victims continued working and withheld all wages 
715,Minor,The victims were recruited through social media accounts and through the Department of Social Services and women shelters The defendants waited until young girls came outside then promised them money and drugs  sometimes also using the threat of force Victims were taken from Rochester to Buffalo Syracuse Albany Utica and NJ to engage in sex acts The defendants kept the money earned from any sex acts This particular defendant trafficked a minor victim across state lines and forced the victim to engage in commercial sex trafficking 
676,Minor,The defendants forced two victims to engage in commercial sex trafficking The defendants advertised the victims services on several online pages and then transported them around the state of Florida 
936,Minor,The defendant forced three victims two of which were minors to engage in commercial sex acts The defendant frequently used force including holding a hot iron next to a victims face and beating the victims 
330,Labor,Defendants conspired with others to conceal an illegal alien for financial gain and used her for forced labor as a domestic servant in the defendants home The victim had to perform household duties and care for the defendants children for long hours seven days a week under threats and at times being physically assaulted
1053,Minor,The defendant recruited a fourteen year old female victim Scott provided the victim with drugs and took sexually suggestive photographs of the victim which he then posted online 
1138,Adult,The defendants were members of a child exploitation enterprise that prostituted underaged girls  The defendants recruited no less than 6 underaged girls and caused them to engage in commercial sex acts  The 6 female victims were prostituted in the state of Virginia Florida Georgia and South Carolina  The website Backpagecom was used to advertise the services of the underaged girls which would take place at various motels within the abovementioned states  Female codefendant redacted acted as Bottom Girl
781,Minor,Brattain and Miller posted pictures of 15 year old Jewel on Backpagecom in order to prostitute her They drove her to different locations in order to meet customers and she was required to give all money to them She was detained by the couple while not with customers until she was able to run away
398,Labor,The defendants conspired to engage in an enterprise that recruited employed and harbored illegal aliens in the US  The defendants created and attained fictitious documentation for numerous illegal aliens in order to commit labor trafficking  The defendants created a fake business entity in order to aid the conspiracy
794,Minor,The defendant forced a fifteen year old minor victim to engage in commercial sex acts The defendant placed advertisements online and forced the victim to work on the streets 
237,Notrelated,The company preaches safety non stop yet the average employee works 1012 hours a day Theres no overtime obviously Saturday work is also mandatory So if youve worked a 55 hour week guess what You get to work an extra day for free Company preaches safety non stop which isnt a bad thing until you realize its to protect only them If youre injured or involved in an accident their first question is what could have you done differently Routing is also designed to keep you on the road as long as possible Out of place stops are pathetically obvious These are only a few reasons why drivers threatened to form a union over this past summer
606,Minor,Wilson traveled in interstate commerce for the purpose of having two minors engage in commercial sex acts
261,Notrelated,Constant job spamming lowball job offers completely unrelated jobs  I am a lawyer in New york city who gets ads constantly for jobs in Chicago Philadelphia Delaware Baltimore etc Basically everywhere but NYC Recruiters tried to argue with me that a daily commute from NYC to Delaware is feasible LOL Also they post jobs that have NOTHING to do with a persons background I am a lawyer yet get jobs for Warehouse supervisor System Administrator Computer Programmer etc It is almost comical
1353,Adult,The defendant recruited the victim from her home in Wisconsin and brought her to a motel in Minnesota where the victim was forced to engage in commercial sex trafficking after taking sexually suggestive photos of her and posting advertisements on backpage The defendant had previously been found guilty of a home invasion two counts of assault and terrorist threats
20,Notrelated,We were understaffed at times but the people we did have were excellent
98,Notrelated,There is very little support for conference travel The college admin is well a college admin Theres also the way the profession thinks about cc professors  if you care about that this might not be a good choice
1266,Adult,The defendants harbored and transported illegal aliens into the US from Mexico to engage in commercial sex acts The victims were then coerced into working for the defendants and were housed in brothels and the defendants homes The victims were forced to provide sexual services to hundreds of men per week The defendants knowingly conspired to attain a female victim under the age of eighteen years in order to force her to commit commercial sex acts for the defendants own personal financial gain  
245,Notrelated,Most tenants are rude and abusive They think you work for them and they treat you like trash even when you try to help them They will yell and curse at you for things that are not in your power I dealt with constant verbal and mental abuse on this job Bad pay and no room for advancement I worked with someone who was there 6 years and only got a couple of very small raises Poor benefits Lack of values Lack of morals The owner of the company uses the maintenance men to fix his own houseapartments This leaves maintenance understaffed and the tenants get angry because the work in their apartments never gets done One tenant waited over 3 months before maintenance got to her apartment They dont take care of their tenants or employees No lunch or bathroom breaks My office had a bathroom but if I got to use it once a day that was a lot The phone is constantly ringing and you get berated if you miss a call even to use the bathroom The 3060 min lunch break is not a break You cannot leave your desk at all You cannot go out for lunch You have to stay at your desk to eat and people will come by and ask for help They do not care if you are eating That is not a break There are no breaks at this job There was also an incident when I worked there where I had to lock myself in my office A former employee was agitated and I feared for my safety and was told by my manager to lock myself in my office Not a very safe place Former employees and tenants become agitated to the point of violence sometimes We had to call the cops a few times during my 6 months of employment My advice is to just run It really isnt worth your time or your mental health This job gave me anxiety
226,Notrelated,long shifts they dont give you the amount of breaks youre entitled to or they give them all within the first 2 hours of your shift management is rude youre not allowed ANY sick days
39,Notrelated,Corporate America is not great to mothers unfair work load
708,Minor,The defendant responded to an ad by an undercover federal agent to engage in commercial sex acts with two fourteenyearold minors However the defendant was arrested upon arriving at the sting operation 
892,Minor,Defendants smuggled a 14yearold girl into the United States from Mexico in order to engage in a prostitution ring in North Carolina The victim was then traded in South Carolina to engage in prostitution in that state While in South Carolina the victim was forced to have sex with dozens of men each day
1417,Adult,The defendants conspired to and recruited sometimes kidnapped women and forced them to dance and engage in prostitution in bars motels and homes in and around Atlanta Georgia  The women were recruited through physical force by paying legal fines or bail for them and by using false pretenses  In addition the defendants would sexually abuse the women keep all of their earnings and charge them for breaking rules such as oversleeping or eating  Thus the defendants kept the women by means of an ever growing debt they owed  The victims experienced severe sexual abuse and mental abuse    
748,Minor,The defendant forced three minors to engage in commercial sex trafficking 
810,Minor,Defendants conspired to traffic a minor to engage in a commercial sex act 
1172,Adult,Defendants established and operated a brothel and rented hotel rooms for the purpose of prostitution  Defendants recruited women including minors online for exotic dancing and escort services and transported the women from 8 different states to Maryland to engage iin commercial sex acts for their financial benefit
1414,Adult,The defendant worked with Robert Bonner and Michael Maynes in the sex trafficking organization Horse Block Pimpin  The defendants recruited victims usually runaways through online chat rooms The defendants would then convince the victims to visit them From there the defendants would confiscate the victims cell phones and IDs The defendants worked to get the victims addicted to heroin so that the victims would be forced to stay The defendants would force the victims to experience withdrawals as punishments The defendants gave one of the victims a lethal dose of Fentanyl and the victim died in a motel room she was working as a prostitute in Other women involved were Bottoms of Maynes one held hostage the other Bottoms infant son to keep her compliant The Bottom whose child was being held by Maynes was also prosecuted 
270,Notrelated,Senior leadership cannot make decisions at milestone moments in the GTM process slowing down all project progression And senior leaders make bad decisions The organization is siloed and not integrated at all The amount of employees on one team is not balanced in the rest of the organization Micromanagers run the place They even want to read your emails Middle management is not appreciated and they are the ones doing all the work while senior leaders just give unclear direction attend meetings all day long and present the managers work in those said meetings Old school working environment and everyone dresses business casual Dont expect to be yourself at work Outdated office from the 80s There is zero culture in this brand with no sense of team mentality Employee turnover is high More than 15 people have left in the past year
535,Minor,The defendant was arrested after contacting an undercover agent online and attempting to purchase a minor victim for the purposes of engaging in sex The defendant a recruiter for the Navy had agreed to pay 80 for an 11 year old girl 
1309,Adult,nan
893,Minor,The defendant was arrested after contacting an undercover agent online and attempting to purchase a minor victim for the purposes of engaging in sex The defendant agreed to pay 60 for 30 minutes and stated he would pay an additional 20 if he did not have to use a condom 
501,Minor,Defendants recruited and forced into prostitution no less than five women many of which had not yet attained eighteen years of age  The women were transported across state lines to take part in commercial sex acts  Many of the women were recruited and solicited online on websites such as Backpagecom and Craigslistcom  Once the women responded to the advertisements which were mostly personal ads or ads about earning extra money the women were forced or threatened into committing commercial sex acts  Victims were physically abused and forced to take illegal drugs including cocaine 
1155,Adult,The defendants knowingly recruited enticed harbored transported and maintained by any means six females one of which had not yet attained 18 years of age in order to force the victims to engage in commercial sex acts  Defendant Walls was charged with witness tampering due to the defendants attempts to prohibit the underaged female victim from communicating with law enforcement 
1183,Adult,Groce was a drug dealer who preyed on people who were addicted He would lure the women in through romance and drugs then he would force them to prostitute to maintain their drug use He was knowingly violent and retaliatory 
214,Notrelated,Very misleading on compensation from when to expect raisesamount to bonuses that never materialize or are so miniscule they are a slap in the face For an old company that had a great reputation as an employer the new owners completely ruined it for employees
440,Minor,Defendant knowingly in and affecting interstate commerce recruited enticed and transported an individual who had not attained eighteen years of age with the intention of forcing her to commit commercial sex acts for the defendants own personal financial gain  
302,Adult,From the very first beating when I was choked to the point of unconsciousness until the day he pulled the trigger on the miraculously unloaded gun in my mouth I knew obedience meant survival When he placed the gun in my mouth and asked me if I wanted to die I shrugged I thought Finally this pain and this life would be over and the only one hurt is the one who was responsible for me being in the situation  me The trigger was pulled but I was still alive For a few moments I thought I was experiencing death with the ability to still see life until I felt the blows to my head by the gunThis was when I realized there was no hope I had to continue this life of being obedient to him so my family wouldnt get hurt as he reminded me each day
118,Notrelated,Designers are overwhelmed with multiple projects with a short time frame to complete each project  Can be overworked and understaffed  Not many mentors must seek external opertunities
135,Notrelated,Bad communication lazy account managers and unqualified supervisors The only way you can progress is by knowing someone in upper managementnan
1011,Minor,Defendant transported a minor around Massachusetts New York and New Jersey for the purpose of engaging in commercial sex acts  He also posted photos of the minor on backpagecom to solicit customers
52,Notrelated,Some departments focus more on who you know than your actual knowledge for the position
639,Minor,The defendant was a bottom girl for Derrick Hayes who was the pimp for the St Petersburg Street Gang 8Hype The defendant was in charge of teaching the two minor runaway victims how to be prostitutes and sell themselves 
1002,Minor,The defendants forced a minor to engage in commercial sex acts in Pennsylvania They maintained control of the victim through physical violence and drug and alcohol abuse 
153,Notrelated,Strict rules to enter inside office need to scan body like employees are thief
514,Minor,Anderson compelled minor girls into prostitution
72,Notrelated,the communication in upper management is so disjointed that one person will tell you to do something and as youre working on it another will actually berate you for doing it that way If you work less than 12 hours a day they think youre a slacker The leaders here are so antiquated in their management style they actually think time  quality of work
677,Minor,The defendant forced five minors to engage in commercial sex acts 
999,Minor,The defendant was previously aphiliated with Delridge West Side Street Money Over Broke Bitches gang and tried in state court for pimping victims The defendant was then tried in federal court for forcing a homeless fourteen year old minor victim to engage in prostitution after meeting her on facebook The minor victim was forced to engage with ten to fifteen johns a day 
485,Minor,The defendants used violence and threats of violence to force the victims several women and two minors to engage in commercial sex acts
988,Minor,The defendant recruited and forced at least one minor into prostitution while transporting her across state lines The minor was transported to and from Maryland and Virginia to participate in illegal interstate commerce by engaging in prostitution 
868,Minor,The defendant convinced a 16yearold victim that he was her boyfriend and then coerced her to engage in commercial sex trafficking  The codefendants conspired to prostitute the victim
1096,Minor,Three brothers from the extended family referred to as the EstradaTepal Trafficking Organization trafficked women from Mexico to Queens New York by smuggling them across the USMexico border  Wire transfers were made to various individuals in the Tlaxcala and Puebla municipalities in Mexico which are known for their high rates of human trafficking
613,Minor,The defendant forced two victims to engage in commercial sex acts The two victims were forced to get tattoos identifying them as the defendants belongings The minor victim was introduced to the defendant by a third party Upon meeting the defendant asked the minor victim about her sexual history and she stated she was a minor the defendant responded that it would be their secret Quickly after the defendant engaged the victim in commercial sex acts and was only allowed one meal a day   
1223,Adult,The defendant ran a prostitution business and acted as a pimp for several victims He would frequently utilize violence to ensure the victims would not try to leave the business The defendant also worked with several other pimps in different states to coordinate jobs The ages of about two dozen victims ranged from 13 to 18 and they would be frequently traded between the pimps forming a prostitution network built on a loose affiliation between nineteen traffickers
968,Minor,The defendant worked at the Days Inn utilized by Craig Johnson and was paid by Johnson daily to not notify the police that Johnson was forcing minors to engage in commercial sex acts The defendant also provided Johnson with advice on advertisements and how to run his business 
575,Minor,The defendant forced four minor victims to engage in commercial sex acts The defendant attempted to induce a thirteen year old girl to work for him as well however she refused 
541,Minor,The defendant recruited a twelve year old runaway by promising her food and shelter The defendant also forced two other victims including one minor to engage in commercial sex acts 
211,Notrelated,Internal fight overwhelming job duty Pool management No business plan Unfair salary and unclear bonus plan
1341,Adult,The defendants illegally brought women aged 1724 from Mexico in order to prostitute them through their restaurant The defendants charged the victims thousands of dollars to make arrangements for the victims to cross into the US and travel to Union City NJ The defendants then put the victims to work as prostitutes and reportedly made more than 1 million from earnings from the victims  
347,Labor,The defendants a married couple conspired to attain the services of an individual through means of force and threatened force  The victim was recruited and brought into the US from the Philippines to work as the defendants domestic worker  The defendants procured illegal forms of documentation to allow for the entrance of the victim to the US  Upon the victims arrival her passport and all forms of documentation were confiscated  The defendants threatened to bring harm to the victims eight children who resided in an apartment owned by the defendants in the Philippines  Defendant Alfred Edwards forced the victim to marry his younger brother in order to attain a visa from the fraudulent marriage for the victim  The victim was made to work seven days a week for thirteen hoursday for approximately ten years  
1286,Adult,If you are the application owner check the logs for more information
496,Minor,Defendant convinced two minor females from Virginia to engage in prostitution in Virginia promising them that if they did so they could all go to Florida Defendant bought the girls and himself Greyhound bus tickets to Florida under false names and once in Florida forced the girls to engage in prostitution in order to pay for food and hotels Defendant advertised the girls services in several ways including on Craigslist
990,Minor,The defendant forced a minor to engage in commercial sex acts Additionally the defendant was also convicted of conspiracy to pass counterfeit money 
629,Minor,Defendant acquired a 15yearold runaway from Melvin Eugene Friedman He prostituted her in a variety of locations in Jacksonville FL There is a network of associates indicated in the related cases
662,Minor,The defendants conspired to sex traffick females using of force and fraud knowing that the females had not yet attained 18 years of age  
1074,Minor,The defendant Lyons gave defendant Grandberry the 14 year old victim as partial payment for a debt and then all the defendants proceeded to post an illicit advertisement of her on Backpagecom and prostitute her in Memphis and the Western Tennessee area 
235,Notrelated,I have worked here for more than a year and am desperately seeking new employment Depending on your team it can be very unorganized and you get stuck doing other peoples work Managers play favorites so hard work often goes unnoticed Morale is low and company does not value its employees Employees work extremely hard and are not fairly compensated for it which is one of the reasons turnover is so high Ive only been here a year and at least 8 people from the team have left already
1112,Adult,The defendant conspired to transport no less than 5 individuals across state lines in interstate commerce with intent to prostitute the individuals  At least one individual was coerced through the use of violent threats to engage in commercial sex acts   
1222,Adult,Yarbrough recruited vulnerable teens and minors and pimped them He was incredibly violent with them beating them burning and branding them hitting them with a metal pipe and other weapons and breaking teeth and bones when they did something he didnt like He even locked them in a dog cage if they refused to work He impregnated several although he continued to make them work and intended to prostitute his 9 year old daughter when she got a little older 
843,Minor,The defendant a member of Underground Gangster Crips recruited minor females in person and over the internet groomed them by forcing them to engage in sex acts with the gang members then intimidated and coerced the minors to engage in commercial sex acts  
169,Notrelated,No advancements those who have been working here for years with lots of experience are paid the same as newcomers with no prior knowledge Strict work high expectations little to none recognition Management is terrible they are always changing things up and moving things around it messes with your work flow People in QA Quality Assurance are the worst and biggest aholes there They will call you out and write you up for the littlest things and get all in your face about it Testing department is the most boring job you can have Its easy to learn but its slow and youll be crammed with loads of work due to others in the department outputting very little People there dont care about your wellbeing they expect you to be a robot and just work I would not recommend this job to anyone who cares about decent wage a fun work environment or advancement Youre better off learning more about computers else where
656,Minor,The defendant forced a minor victim to engage in commercial sex acts 
654,Minor,The defendant responded to an online advertisement of commercial sex by a fifteen year old posted by an undercover federal agent Upon arrival at the prearranged meeting the defendant was arrested 
611,Minor,Underaged females were prostituted in hotels in exchange for cocaine and the defendants engaged in drug distribution
1169,Adult,Defendant Brown and her daughter defendant Mourizaki pled guilty to money laundering and conspiracy to violate the Mann Act and White Slavery Act in connection with their operation of a brothel They operated a brothel between 2000 and 2005 in a house in Springfield Many of the women who worked in the brothel were illegal immigrants though these defendants were not linked to the smuggling nor International trafficking operations
1350,Adult,The defendant was a pimp who forced at least four victims to engage in commercial sex trafficking The defendant met one of the minor victims and then convinced her to move to Chicago with him and be his girlfriend Upon moving to Chicago the defendant forced the victim to engage in commercial sex trafficking The defendant frequently used violence and threats to kill the victims to maintain control including beating one of the victims to where their eye swelled shut The victims were advertised online and were instructed to have sex with customers in the defendants apartment and in motels throughout the area
844,Minor,The defendant a member of Underground Gangster Crips recruited minor females in person and over the internet groomed them by forcing them to engage in sex acts with the gang members then intimidated and coerced the minors to engage in commercial sex acts  
175,Notrelated,Management works on numbers You are consistently Harassed You are told to lie to customers on a daily basis 80 of your job is retention team because 90 of the pcs show up with issues No direct deposit Late Checks ALWAYS They Hire People off the streets with no experience and set them in front of a table and get told to build pcs You do not get benefits even though you were told you do you do not get sick days even though you were told you do Management will not deal with customers directly you have to lie to them to get them off the phone No raise after 90 days There are so many people below saying the same thing When you ask management they do not respond to you Times can be tough and I know people sometimes need jobs asap If you are one of those people you can be treated better and get an actual paycheck on time at a mcdonalds This place should not exist YOU DO NOT WANT TO WORK HERE
335,Labor,Defendants procured and obtained diversity visas unlawfully to bring young females from the West African countries of Togo and Ghana to the United States for the purpose of forced labor in hair braiding establishments
1381,Adult,If you are the application owner check the logs for more information
519,Minor,An underage female was prostituted in several hotels throughout San Francisco California through force fraud and coercion
456,Minor,Defendants were part of a scheme to smuggle Central American women and girls into the United States The defendants lured their victims with promises of legal jobs in the United States Once in the country however the victims were forced to work in restaurants bars and cantinas in the Houston area and in some instances were required to respond to the sexual advances of customers The women were threatened with physical harm or harm to their families if they they attempted to escape before paying off their smuggling debt some were sexually assaulted by the defendants
713,Minor,The defendant contacted an undercover federal agent and arranged to have commercial sex acts with a minor victim Upon arriving to the sting house the defendant was arrested 
1373,Adult,The defendant smuggled victims from South Korea to the US and forced some of the victims to work in massage parlors and as prostitutes 
556,Minor,The defendant forced a minor victim to engage in commercial sex acts 
1114,Adult,The defendants confined women in alien smuggling safe houses in the Edinburg Texas area near the USMexico border where they raped the women repeatedly The victims were young women from Mexico and Central America including Guatemala Honduras and El Salvador and were held in those houses against their will and forced to do work for free The women were held against their will until their debt to the organization incurred largely from their smuggling fees was repaid 
1127,Adult,Defendant recruited and forced young women to engage in prostitution in the Atlanta area He enticed the victims into signing fraudulent modeling contracts and then used physical and sexual abuse threats of force and extortion to compel the young women into prostitution
531,Minor,A PuertoRican woman recruited enticed harbored and transported a 14 yearold female to engage in commercial sex acts 
1242,Adult,The defendant ran a karaoke bar and forced victims to have sex with customers of the bar The defendant lured the victims by promising jobs as farm laborers cleaners and waiters 
1300,Adult,Malcolm enticed Korean women to come to the US by promising them jobs and instead had them work as prostitutes in her front businesses to pay off the debt from her help in smuggling them into the country 
596,Minor,Defendants smuggled two minor females and one adult female across the USMexico border to San Antonio  Stephens and Gereb were business partners working with the Ochoas and intended to use the victims through escort services or massage parlors for the purpose of prostitution
1191,Adult,Defendants recruited a 19yearold girl to work as a prostitute then offered her a commission to recruit a 16yearold Baltimore resident to perform prostitution  The defendants posted pictures of the prostitutes on the Internet in advertisements  Defendant Hubert invited the 16yearold to live with him forcing her to have sex at a Parkville house and at other outcall locations
185,Notrelated,Almost no benefits Healthdental is only 50 covered after your probationary period and its really expensive No retirement plans no direct deposit really and paid time off is 5 days every two years with a cap of 10 days Staff are treated like slaves and moral is always down Everyone you talk to hates working here No wonder there is high turnover
689,Minor,Defendant recruited enticed and transported an individual who had not attained eighteen years of age with the intention of forcing her to commit commercial sex acts for the defendants own personal financial gain  The defendant sexually abused the victim and transported her throughout the state of Maryland for the purpose of prostitution
33,Notrelated,While you can move around making the upper ranks requires an MBA that they wont help you pay for
646,Minor,The defendants pimped a 16 year old girl in Sacramento and Anaheim by renting a hotel room and placing advertisements with pictures of the victim on the Internet
180,Notrelated, dirty workplace rats and roaches around sometimes smells like urine  positions can be changed without prior notice  will be forced to do tasks not related to your current position  will lack necessary tools and supplies  management will not agree with your views  management will argue with each other  lack of professionalism  verbal harassment almost every day  it will always get worse  sketchy taxes and no direct deposit  no benefits or workers compensation  will try to steal out of your paycheck
1133,Adult,Defendants were involved in forced prostitution of juveniles and adults by the Folk NationGangster Disciples street gang Defendants used a combination of force fraud and coercion to compel their victims to have sex for money in El Paso and Killeen Albuquerque Las Vegas and Colorado
210,Notrelated,Underappreciated no verticle mobility poor management
87,Notrelated,The company preaches safety non stop yet the average employee works 1012 hours a day Theres no overtime obviously Saturday work is also mandatory So if youve worked a 55 hour week guess what You get to work an extra day for free Company preaches safety non stop which isnt a bad thing until you realize its to protect only them If youre injured or involved in an accident their first question is what could have you done differently Routing is also designed to keep you on the road as long as possible Out of place stops are pathetically obvious These are only a few reasons why drivers threatened to form a union over this past summer
766,Minor,The defendants prostituted Mexican women and one minor throughout Queens NY
1158,Adult,Defendants owned two transportation service companies used for the purpose of transporting at least 100 women the vast majority undocumented from New York and New Jersey to Maryland for the purpose of commercial sex in brothels and rented apartments  Defendants provided victims with food and supplies for a set weekly fee
47,Notrelated,Being a bartender you will work late hours
1401,Adult,Defendants husband and wife owned the Kaufman House an unlicensed residential home for mentally ill adults  Defendants engaged in conspiracy to hold mentally ill Kaufman House residents in involuntary servitude and forced labor defraud them of Medicare benefits and force them to engage in sexual acts
604,Minor,The defendant forced two sixteen year old minor victims to engage in commercial sex acts 
191,Notrelated,Like any company there are lots of transitions and growing pains Sometimes there are internal conflicts so you have to think different and be flexible to see what you can do to achieve your goals Take the initiative create actionable plans be resourceful and stay positive to keep yourself on track
218,Notrelated,Upper management changed founder left and acquirer did not have faith in current managers They had a big layoff of good technical people when sales did not perform and get orders then severe attrition occurred then the new managers started bringing in cronies
49,Notrelated,Low hourly pay pretty much across the board for all departments 10 is the baseline from restaurant staff front desk and housekeeping meaning I pretty much always make more than front desk and housekeeping because of tips Im cross trained on front desk but rarely work shifts there because they hourly isnt really worth it
273,Notrelated,Start off temp til you reach 25 for a minimum of 3 months for recurring customers they dont mind about one time customerswhich is what 75 call in asking for It costs much more than in independent cleaner would high turnover rate very monatonous day always Room for advancement seems slim
1234,Adult,The crime ring trafficked girls some underaged to Memphis Tennessee from many states and Latin American countries  They operated a string of brothels where the girls would serve as prostitutes
1304,Adult,Tyson from the related case brought the minor victim and an adult female from Detroit MI to Miami Florida and prostituted them in various cities She had the help of Gaskins who provided transportation and security for their activities There is no indication of the female defendant was prostituting or being prostituted in the case documents
433,Minor,The defendants recruited enticed and harbored several female victims many of which had not attained 18 years of age  These young women were forced to take part in commercial sex acts  The victims were flown from different states to Houston Texas to work as prostitutes  No less than one of the victims was sold to another pimp  The three Houstonbased commercial sex businesses in which the victims were made to work were Total Pleasure Taboo Modeling Studio North and Paris of Katy  
90,Notrelated,Because of the types of projects Parker gets involved with and that fact that they are pushing the envelope its no 95 This place is for people who enjoy a challenge but like to work Sometimes the work loads can get a bit overwhelming but the end results are very rewarding
724,Minor,An underaged female and adult females were prostituted through online ads on the streets and in clubs throughout Nashville and Memphis No information for female codefendants on previous or current prostitution by the male codefendant
209,Notrelated,No structure No highly skilled management No personal development
812,Minor,While at the Sturgis Motorcycle Rally the defendant contacted an undercover federal agent and agreed to engage in commercial sex acts with a minor Upon arriving at the agreedupon spot the defendant was arrested
985,Minor,The defendant forced two victims to engage in commercial sex trafficking after posting advertisements online The defendant forced the victims to give a portion of the earnings to him 
204,Notrelated,very high turnover internal competition everyones fighting for each others accounts everyone is overworked management is traditional not open to changenew ideas company is cheap too few resources going around pay is way below market value commission is only attained through meeting 70 of your quota each month If you dont meet that 70 you receive nothing
918,Minor,The defendant forced a minor victim to engage in commercial sex acts The defendant was eventually convicted for child abuse of the victim 
979,Minor,The defendants recruited minor girls and pimped them in the Springfield and Eugene areas of Oregon Some victims were recruited from public events such as concerts and they were prostituted out through online advertisements  Agents have linked defendant Spriggs to more than 100 women and children working as prostitutes
1045,Minor,The defendant forced four minor victims to engage in commercial sex acts The defendant attempted to induce a thirteen year old girl to work for him as well however she refused 
1382,Adult,The defendant ran a prostitution business from his home He would use the internet to advertise erotic services and also posted live videos of the victims engaging in poledancing in his residence The defendant was also charged with distributing cocaine and MDMA 
907,Minor,The defendant lured three minor victims with the promise of school supplies and forced them to engage in commercial sex trafficking The defendant frequently beat the victims The defendant was a highranking member of the Piru Street Gang a branch of the Bloods Gang The defendant at the time of arrest was nineteen and she is a mother of two young daughters The defendant pled guilty in another case and this case was dismissed as a result In the other case the defendant was found guilty and sentenced to 18 years 216 months in prison under one count of 1591 and one count of 1594
9,Notrelated,Will not support a manager when what is said about them is incorrect no matter how unbelievable the statements made are
428,Minor,The defendants members of the Underground Gangster Crips street gang used social media sites like Facebook and MySpace to recruit underage girls plied them with drugs and forced them to engage in commercial sexual acts Some girls were forced to have sex with gang members for initiation or tryout 
736,Minor,The defendant transported a fifteen year old victim to engage in commercial sex acts 
1435,Adult,The victims were recruited through social media accounts and through the Department of Social Services and women shelters The defendants waited until young girls came outside then promised them money and drugs  sometimes also using the threat of force Victims were taken from Rochester to Buffalo Syracuse Albany Utica and NJ to engage in sex acts The defendants kept the money earned from any sex acts 
1226,Adult,Defendants recruited minor females to work in prostitution  They instructed the victims regarding where and when they would work and how much they were to charge  Defendants drove the victims to their appointments and also rented motel rooms for the victims to meet clients
904,Minor,Five men prostituted two 15 year old girls throughout the Twin Cities between April 2003 and May 2003
617,Minor,The defendant forced a minor to engage in commercial sex acts after posting advertisements online 
1322,Adult,The defendants knowingly recruited enticed harbored transported and maintained by any means six females one of which had not yet attained 18 years of age in order to force the victims to engage in commercial sex acts  Defendant Walls was charged with witness tampering due to the defendants attempts to prohibit the underaged female victim from communicating with law enforcement 
555,Minor,The defendant forced a minor victim one of his distant relatives to engage in commercial sex acts after getting the victim addicted to marijuana and crack cocaine 
1081,Minor,The defendant was the victims psychiatrist at the time of the defendants crime  The defendant did knowingly and intentionally entice and persuade an individual who was his client and had not yet attained 18 years of age to commit commercial sex acts  The defendant used violence and threats of violence to force the underaged man to commit such acts  
1390,Adult,The defendants conspired to sex traffick females using of force and fraud knowing that the females had not yet attained 18 years of age  
